CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
12,Guerrero,77,Marquelia,89700,Tomate rojo (jitomate),0,1,"9,854","197,089"
9,Distrito Federal,10,lvaro ObregÑn,68400,Frijol,2,1,"17,050","8,525"
12,Guerrero,17,Cocula,68400,Frijol,2,1,"14,339","7,169"
14,Jalisco,15,Autlàn de Navarro,93100,Zarzamora,1,1,"9,350","18,700"
9,Distrito Federal,12,Tlalpan,71500,Higo,0,1,"7,336","36,680"
2,Baja California,1,Ensenada,75800,Manzana,1,1,"3,720","3,720"
5,Coahuila,33,San Pedro,88100,Sorgo grano,2,1,"4,200","2,100"
13,Hidalgo,12,Atotonilco El Grande,56900,Cacahuate,1,1,"26,400","26,400"
14,Jalisco,106,Tuxcacuesco,61100,Chile seco,3,1,"24,000","8,000"
16,Michoacàn,92,Tiquicheo de Nicolàs Romero,78300,Nanche,1,1,"6,550","6,550"
7,Chiapas,101,Tuxtla Guti_rrez,68400,Frijol,3,1,"11,938","3,730"
12,Guerrero,4,Alcozauca de Guerrero,78300,Nanche,1,1,"3,750","5,000"
12,Guerrero,4,Alcozauca de Guerrero,75800,Manzana,1,1,"5,760","11,520"
12,Guerrero,60,Tetipac,57700,Calabaza semilla o chihua,3,1,"32,448","10,140"
17,Morelos,2,Atlatlahucan,57100,Caf_ cereza,1,1,"5,376","6,720"
16,Michoacàn,13,Caràcuaro,78300,Nanche,1,1,"10,350","10,350"
5,Coahuila,13,Hidalgo,68400,Frijol,2,1,"12,320","6,160"
12,Guerrero,37,Ixcateopan de Cuauht_moc,57700,Calabaza semilla o chihua,3,1,"21,071","6,197"
14,Jalisco,108,Tuxpan,68400,Frijol,1,1,"11,200","11,200"
12,Guerrero,19,Copalillo,61100,Chile seco,4,1,"41,218","11,777"
15,M_xico,54,Metepec,99800,Semilla de haba grano,4,1,"79,200","20,842"
12,Guerrero,49,Pilcaya,57700,Calabaza semilla o chihua,2,1,"15,435","7,016"
15,M_xico,33,Ecatepec de Morelos,68400,Frijol,2,1,"15,742","10,495"
15,M_xico,53,Melchor Ocampo,68400,Frijol,2,2,"15,150","7,575"
15,M_xico,100,Tezoyuca,59200,Cebada grano,1,2,"5,813","5,813"
12,Guerrero,27,Cutzamala de PinzÑn,70600,Guayaba,1,2,"11,411","22,822"
15,M_xico,71,Polotitlàn,75000,Semilla de maÕz grano,2,2,"48,320","24,160"
17,Morelos,25,Tlaquiltenango,68400,Frijol,2,2,"14,024","7,012"
9,Distrito Federal,4,Cuajimalpa de Morelos,68400,Frijol,3,2,"24,920","8,307"
15,M_xico,62,Ocoyoacac,65300,Durazno,1,2,"12,225","24,450"
7,Chiapas,53,Mazapa de Madero,65300,Durazno,1,2,"11,287","22,574"
17,Morelos,26,Tlayacapan,57100,Caf_ cereza,1,2,"7,183","7,183"
12,Guerrero,78,Cochoapa El Grande,82300,Pera,2,2,"8,498","4,249"
12,Guerrero,34,Huitzuco de Los Figueroa,50800,AjonjolÕ,4,2,"24,562","7,018"
13,Hidalgo,42,Molango de Escamilla,62200,Ciruela,1,2,"2,275","2,275"
16,Michoacàn,109,Zinàparo,60600,ChÕa,5,2,"40,250","8,050"
15,M_xico,103,Tlalmanalco,68400,Frijol,2,2,"21,289","10,644"
10,Durango,11,Ind_,79600,Nuez,2,2,"117,000","78,000"
12,Guerrero,49,Pilcaya,78300,Nanche,2,2,"6,300","4,200"
15,M_xico,64,El Oro,68100,Frambuesa,1,2,"22,500","45,000"
12,Guerrero,77,Marquelia,57000,Cacao,2,2,"14,067","7,033"
9,Distrito Federal,8,La Magdalena Contreras,58400,CapulÕn,2,2,"11,346","6,303"
12,Guerrero,34,Huitzuco de Los Figueroa,61100,Chile seco,4,2,"60,125","15,031"
15,M_xico,62,Ocoyoacac,75800,Manzana,1,2,"15,480","30,960"
15,M_xico,77,San SimÑn de Guerrero,68400,Frijol,4,2,"28,240","7,060"
12,Guerrero,33,Huamuxtitlàn,83400,Pitahaya,3,2,"20,246","6,749"
15,M_xico,88,Tenancingo,68100,Frambuesa,1,2,"36,099","72,198"
6,Colima,9,Tecomàn,62200,Ciruela,2,2,"15,280","10,187"
14,Jalisco,77,San MartÕn Hidalgo,69400,Girasol,2,2,"6,912","3,456"
16,Michoacàn,8,Aquila,56900,Cacahuate,2,2,"40,320","20,160"
12,Guerrero,8,Atenango del RÕo,61100,Chile seco,5,2,"58,098","12,911"
12,Guerrero,36,Igualapa,57000,Cacao,2,2,"14,000","7,000"
15,M_xico,77,San SimÑn de Guerrero,57100,Caf_ cereza,3,2,"8,385","3,354"
1,Aguascalientes,7,RincÑn de Romos,65300,Durazno,1,2,"7,000","7,000"
8,Chihuahua,33,Huejotitàn,79600,Nuez,5,2,"94,000","18,800"
13,Hidalgo,8,Apan,89800,Tomate verde,2,2,"13,600","6,800"
9,Distrito Federal,10,lvaro ObregÑn,58400,CapulÕn,2,2,"12,648","6,657"
9,Distrito Federal,13,Xochimilco,61200,Chile verde,1,2,"25,532","25,532"
5,Coahuila,10,Frontera,57400,Calabacita,0,2,"13,838","55,350"
16,Michoacàn,17,Contepec,82300,Pera,0,2,"14,781","59,122"
11,Guanajuato,24,Pueblo Nuevo,69000,Garbanzo grano,1,2,"8,043","8,043"
13,Hidalgo,12,Atotonilco El Grande,93100,Zarzamora,1,2,"22,050","22,050"
15,M_xico,86,Temascaltepec,68400,Frijol,5,2,"31,920","7,093"
15,M_xico,30,Chiconcuac,68400,Frijol,2,2,"23,805","11,336"
12,Guerrero,4,Alcozauca de Guerrero,70600,Guayaba,1,2,"13,200","17,600"
12,Guerrero,40,Leonardo Bravo,78300,Nanche,2,2,"12,003","6,002"
12,Guerrero,4,Alcozauca de Guerrero,73900,LimÑn,1,2,"8,672","17,343"
15,M_xico,66,Otzoloapan,72200,Jamaica,3,2,"94,500","31,500"
15,M_xico,114,Villa Victoria,79700,Nuez de castilla,1,2,"112,500","150,000"
14,Jalisco,8,Arandas,60200,Chabacano,1,2,"22,080","22,080"
14,Jalisco,59,Mazamitla,76900,Membrillo,2,2,"36,800","18,400"
7,Chiapas,111,Zinacantàn,89300,Tejocote,1,2,"8,458","8,458"
17,Morelos,24,Tlaltizapàn de Zapata,57700,Calabaza semilla o chihua,2,2,"57,564","28,782"
7,Chiapas,10,Bejucal de Ocampo,90500,Trigo grano,2,2,"9,629","4,814"
7,Chiapas,71,Villa Comaltitlàn,76100,MaraÐÑn,5,2,"11,676","2,335"
12,Guerrero,18,Copala,88700,Tabaco,3,2,"70,180","28,072"
12,Guerrero,56,Tecoanapa,89700,Tomate rojo (jitomate),0,2,"20,889","174,079"
8,Chihuahua,45,Meoqui,83300,Pistache,6,2,"210,800","34,000"
12,Guerrero,1,Acapulco de Juàrez,61100,Chile seco,4,3,"41,807","10,452"
12,Guerrero,29,Chilpancingo de Los Bravo,62200,Ciruela,1,3,"8,164","8,164"
15,M_xico,9,Amecameca,59200,Cebada grano,1,3,"9,504","9,504"
15,M_xico,88,Tenancingo,75800,Manzana,1,3,"10,600","21,200"
11,Guanajuato,31,San Francisco del RincÑn,69400,Girasol,3,3,"18,225","6,075"
14,Jalisco,24,Cocula,60600,ChÕa,5,3,"86,400","19,200"
14,Jalisco,68,Villa PurificaciÑn,72200,Jamaica,6,3,"60,345","10,718"
15,M_xico,114,Villa Victoria,65300,Durazno,1,3,"14,850","19,800"
15,M_xico,9,Amecameca,68400,Frijol,3,3,"32,815","10,938"
14,Jalisco,52,Juchitlàn,68400,Frijol,3,3,"28,770","8,462"
12,Guerrero,41,Malinaltepec,62200,Ciruela,3,3,"10,104","4,041"
12,Guerrero,55,Taxco de AlarcÑn,58200,CaÐa de azucar,0,3,"2,427","7,139"
8,Chihuahua,37,Juàrez,83300,Pistache,7,3,"266,000","38,000"
10,Durango,12,Lerdo,65300,Durazno,4,3,"33,600","8,400"
13,Hidalgo,15,Cardonal,71000,Haba grano,4,3,"25,480","6,370"
15,M_xico,32,Donato Guerra,59200,Cebada grano,4,3,"12,600","3,150"
12,Guerrero,28,Chilapa de lvarez,50800,AjonjolÕ,5,3,"49,415","9,466"
9,Distrito Federal,13,Xochimilco,58400,CapulÕn,3,3,"19,454","5,807"
10,Durango,6,General SimÑn BolÕvar,79600,Nuez,14,3,"144,500","10,321"
12,Guerrero,57,T_cpan de Galeana,56900,Cacahuate,4,3,"48,943","13,984"
13,Hidalgo,73,Tlanchinol,54300,ArvejÑn,7,3,"41,899","6,446"
14,Jalisco,6,Ameca,56900,Cacahuate,1,3,"36,039","25,742"
9,Distrito Federal,12,Tlalpan,58400,CapulÕn,3,3,"19,331","5,603"
14,Jalisco,108,Tuxpan,62200,Ciruela,3,3,"17,050","5,683"
14,Jalisco,121,Zapotiltic,62200,Ciruela,3,3,"16,110","5,370"
2,Baja California,3,Tecate,60200,Chabacano,1,3,"33,000","33,000"
3,Baja California Sur,3,La Paz,88100,Sorgo grano,1,3,"9,000","9,000"
8,Chihuahua,14,Coronado,68400,Frijol,2,3,"24,000","12,000"
10,Durango,12,Lerdo,68400,Frijol,15,3,"30,300","2,020"
10,Durango,30,San Pedro del Gallo,76900,Membrillo,3,3,"22,500","7,500"
12,Guerrero,2,Ahuacuotzingo,73900,LimÑn,1,3,"14,329","28,659"
12,Guerrero,37,Ixcateopan de Cuauht_moc,56900,Cacahuate,2,3,"45,075","22,538"
14,Jalisco,54,El LimÑn,50600,Aguacate,2,3,"48,000","32,000"
14,Jalisco,54,El LimÑn,83500,Pitaya,1,3,"37,500","37,500"
17,Morelos,6,Cuautla,72200,Jamaica,10,3,"127,500","12,750"
12,Guerrero,5,Alpoyeca,88800,Tamarindo,1,3,"9,674","19,348"
16,Michoacàn,98,Tuxpan,74400,Macadamia,1,3,"27,982","27,982"
15,M_xico,11,Atenco,75800,Manzana,1,3,"15,021","30,043"
13,Hidalgo,42,Molango de Escamilla,70600,Guayaba,1,3,"17,160","17,160"
13,Hidalgo,79,Xochicoatlàn,75800,Manzana,2,3,"20,605","13,737"
15,M_xico,93,Tepetlaoxtoc,75800,Manzana,1,3,"14,360","28,720"
12,Guerrero,77,Marquelia,72200,Jamaica,8,3,"60,600","7,575"
16,Michoacàn,59,Nuevo Urecho,88800,Tamarindo,1,3,"25,092","25,092"
5,Coahuila,2,AcuÐa,88100,Sorgo grano,2,3,"9,760","4,880"
15,M_xico,99,Texcoco,93100,Zarzamora,3,3,"45,500","18,200"
10,Durango,17,Ocampo,76900,Membrillo,5,3,"13,325","2,665"
11,Guanajuato,4,Apaseo El Alto,93100,Zarzamora,1,3,"35,675","35,675"
13,Hidalgo,48,Pachuca de Soto,68400,Frijol,5,3,"31,135","6,227"
9,Distrito Federal,4,Cuajimalpa de Morelos,60200,Chabacano,2,3,"22,073","11,617"
6,Colima,3,Comala,83500,Pitaya,1,3,"42,375","42,375"
15,M_xico,14,Atlacomulco,58100,Canola,1,3,"22,275","22,275"
16,Michoacàn,89,Tepalcatepec,78300,Nanche,1,3,"22,367","22,367"
12,Guerrero,80,Juchitàn,72200,Jamaica,9,3,"63,182","7,020"
9,Distrito Federal,8,La Magdalena Contreras,68100,Frambuesa,1,3,"40,862","40,862"
16,Michoacàn,55,MÏgica,72200,Jamaica,3,3,"118,650","39,550"
1,Aguascalientes,10,El Llano,79600,Nuez,2,3,"98,260","49,130"
12,Guerrero,4,Alcozauca de Guerrero,50600,Aguacate,1,3,"25,500","51,000"
12,Guerrero,57,T_cpan de Galeana,54100,Arroz palay,4,3,"21,696","6,199"
9,Distrito Federal,10,lvaro ObregÑn,71650,Hongos y setas,0,3,"124,651","2,077,525"
5,Coahuila,10,Frontera,52700,Alpiste,3,4,"17,500","7,000"
5,Coahuila,13,Hidalgo,88100,Sorgo grano,3,4,"10,500","4,200"
10,Durango,16,Nombre de Dios,56900,Cacahuate,4,4,"84,000","24,000"
12,Guerrero,55,Taxco de AlarcÑn,61200,Chile verde,2,4,"12,600","8,400"
12,Guerrero,78,Cochoapa El Grande,75800,Manzana,2,4,"15,750","7,875"
13,Hidalgo,69,Tizayuca,91200,Tuna,1,4,"12,425","12,425"
15,M_xico,51,Lerma,75800,Manzana,1,4,"29,750","29,750"
15,M_xico,11,Atenco,62200,Ciruela,1,4,"20,592","41,184"
14,Jalisco,63,Ocotlàn,60600,ChÕa,5,4,"189,925","37,985"
14,Jalisco,5,Amatitàn,60600,ChÕa,7,4,"196,350","30,208"
